KBArticle,Classification,Status,Details,Product,PublishDate,URL
2760587,Critical,Approved,,Office 2013,2013/11/12,
850016,Security,Approved,,Office 2010,2013/12/10,
2817301,Critical,Approved,,Office 2013,2014/4/8,
2760544,Critical,Declined,Superseded by 3039795,Office 2013,2014/4/8,
2760344,Critical,Approved,,Office 2013,2014/4/8,
880971,Security,Approved,,Office 2010,2014/5/13,
2760249,Critical,Declined,Superseded by 2889863,Office 2013,2014/8/12,
2883095,Critical,Approved,,Office 2013,2014/10/14,
2760371,Critical,Approved,,Office 2013,2014/10/14,
2899522,Critical,Approved,,Office 2013,12/9/2014,
3039798,Security,Approved,,Office 2013,8/11/2015,
3039720,Critical,Approved,,Office 2013,10/13/2015,
3054819,Critical,Approved,,Office 2013,2/9/2016,
3023049,Security,Approved,,Office 2013,6/7/2016,
213644,Security,Approved,,Office 2010,9/12/2017,
18354,Security,Unapproved,,Office 2010,4/10/2018,
11717,Security,Unapproved,,Office 2010,4/10/2018,
4022212,Critical,Approved,,Office 2013,8/7/2018,
3172522,Security,Approved,,Office 2013,1/8/2019,
461631,Security,Unapproved,,Office 2010,9/10/2019,
461613,Security,Unapproved,,Office 2010,12/10/2019,
4537767,Security,Approved,,Server 2012,2/11/2020,
4537759,Security,Approved,,Windows 10 1803,2/11/2020,
4537759,Security,Approved,,Windows 10 1903,2/11/2020,
4537759,Security,Approved,,Windows 10 1709,2/11/2020,
4537759,Security,Approved,,Server 2012,2/11/2020,
4537759,Security,Approved,,Server 2019,2/11/2020,
4537759,Security,Approved,,Server 2016,2/11/2020,
4541510,Security,Approved,,Server 2012,3/10/2020,
4541509,Security,Approved,,Server 2012,3/10/2020,
4541505,Security,Approved,,Server 2012,3/10/2020,
4540724,Security,Approved,,Windows 10 1803,3/10/2020,
4540694,Security,Approved,,Server 2012,3/10/2020,
4540689,Security,Approved,,Windows 10 1803,3/10/2020,
4540681,Security,Approved,,Windows 10 1709,3/10/2020,
4540673,Security,Declined,Superseded by 4551762,Windows 10 1903,3/10/2020,
4540670,Security,Approved,,Server 2016,3/10/2020,
4538461,Security,Approved,,Server 2019,3/10/2020,
4484231,Security,Approved,,Office 2013,3/10/2020,
4551762,Security,Declined,Superseded by 4541335,Windows 10 1903,3/12/2020,
544334,Security,Declined,Preview,Server 2012,3/17/2020,
541332,Security,Declined,Preview,Server 2012,3/17/2020,
4552152,Security,Approved,,Windows 10 1903,4/14/2020,
4550994,Security,Approved,,Server 2016,4/14/2020,
4550971,Security,Approved,,Server 2012,4/14/2020,
4550970,Security,Approved,,Server 2012,4/14/2020,
4550961,Security,Approved,,Server 2012,4/14/2020,
4550929,Security,Approved,,Server 2016,4/14/2020,
4550927,Security,Approved,,Windows 10 1803,4/14/2020,
4550922,Security,Approved,,Windows 10 1803,4/14/2020,
4550917,Security,Approved,,Server 2012,4/14/2020,
4550905,Security,Approved,,Server 2012,4/14/2020,
4549951,Security,Declined,Superseded by 4556799,Windows 10 1903,4/14/2020,
4549949,Security,Approved,,Server 2019,4/14/2020,
4549947,Security,Approved,,Server 2019,4/14/2020,
4551853,Security,Approved,,Server 2019,5/12/2020,
4507456,Security,Unapproved,Telemetry info not needed,Server 2008,0000-00-00,
2972103,Security,Approved,,Server 2012,0000-00-00,
2968296,Security,Approved,,Server 2012,0000-00-00,
2966828,Security,Approved,,Server 2012,0000-00-00,
2966826,Security,Approved,,Server 2012,0000-00-00,
2910941,Security,Approved,,Office 2013,0000-00-00,
2894852,Security,Approved,,Office 2013,0000-00-00,
2880502,Security,Declined,Superseded by 3039794,Office 2013,0000-00-00,
2880463,Security,Approved,,Office 2013,0000-00-00,
2726958,Security,Approved,,Office 2013,0000-00-00,
